SAMPLE_ID,PROJECT,Library Source,Instrument Platform,Instrument Model,Library Layout,Library Strategy,,host,Reference (PMID),comment,
ERR10513574,PRJEB56841,TRANSCRIPTOMIC,OXFORD_NANOPORE,MinION,SINGLE,ssRNA-seq,dRNA-seq,monkey+MPXV,37160911,MPOX_inf_mix,aligned
ERR10543479,PRJEB56841,TRANSCRIPTOMIC,OXFORD_NANOPORE,MinION,SINGLE,RNA-seq,(d)cDNA-seq,monkey+MPXV,37160911,MPOX_inf_12h_A,aligned
ERR10543480,PRJEB56841,TRANSCRIPTOMIC,OXFORD_NANOPORE,MinION,SINGLE,RNA-seq,(d)cDNA-seq,monkey+MPXV,37160911,MPOX_inf_12h_B,aligned
ERR10543481,PRJEB56841,TRANSCRIPTOMIC,OXFORD_NANOPORE,MinION,SINGLE,RNA-seq,(d)cDNA-seq,monkey+MPXV,37160911,MPOX_inf_12h_C,aligned
ERR10550019,PRJEB56841,TRANSCRIPTOMIC,OXFORD_NANOPORE,MinION,SINGLE,RNA-seq,(d)cDNA-seq,monkey+MPXV,37160911,MPOX_inf_1h_A,aligned
ERR10550020,PRJEB56841,TRANSCRIPTOMIC,OXFORD_NANOPORE,MinION,SINGLE,RNA-seq,(d)cDNA-seq,monkey+MPXV,37160911,MPOX_inf_1h_B,aligned
ERR10550021,PRJEB56841,TRANSCRIPTOMIC,OXFORD_NANOPORE,MinION,SINGLE,RNA-seq,(d)cDNA-seq,monkey+MPXV,37160911,MPOX_inf_1h_C,aligned
ERR10550022,PRJEB56841,TRANSCRIPTOMIC,OXFORD_NANOPORE,MinION,SINGLE,RNA-seq,(d)cDNA-seq,monkey+MPXV,37160911,MPOX_inf_2h_A,aligned
ERR10550023,PRJEB56841,TRANSCRIPTOMIC,OXFORD_NANOPORE,MinION,SINGLE,RNA-seq,(d)cDNA-seq,monkey+MPXV,37160911,MPOX_inf_2h_B,aligned
ERR10550024,PRJEB56841,TRANSCRIPTOMIC,OXFORD_NANOPORE,MinION,SINGLE,RNA-seq,(d)cDNA-seq,monkey+MPXV,37160911,MPOX_inf_2h_C,aligned
ERR10550025,PRJEB56841,TRANSCRIPTOMIC,OXFORD_NANOPORE,MinION,SINGLE,RNA-seq,(d)cDNA-seq,monkey+MPXV,37160911,MPOX_inf_4h_A,aligned
ERR10550026,PRJEB56841,TRANSCRIPTOMIC,OXFORD_NANOPORE,MinION,SINGLE,RNA-seq,(d)cDNA-seq,monkey+MPXV,37160911,MPOX_inf_4h_B,aligned
